证券代码,证券简称,上市日期,首次ST时间,time,status,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
300409.SZ,道氏技术,2014年12月3日,2020年1月1日,1855,0,8.6551,12.5984,10.8676,13.1754,10.4839,12.5984,9.4537,7.3688,5.109,1.2236,7.9031,2.168,0.7964,1.5811,0.9155,55.1782,1.8887,0.6158,1.2311,540.2031,83.4986,77.2666,39.7563,205778658,0.2071,11.4269,0.56,4.9617,0.4589,2.571
300411.SZ,金盾股份,2014年12月31日,2020年1月1日,1827,0,-59.2716,-302.4747,-316.3742,-352.3842,-83.591,-302.4747,-107.6905,0.7743,2.3786,0.3623,1.1667,2.0145,0.1873,4.2998,3.8259,21.118,1.7205,0.6408,0.2677,64.928,-2576.0964,-52.0379,-45.3242,-114829674.6,-0.4495,-9.492,-3.7,3.4404,-0.2421,5.5728
300417.SZ,南华仪器,2015年1月23日,2020年1月1日,1804,0,6.1237,20.901,18.2715,23.4097,6.5757,20.901,6.9308,5.0015,1.9414,0.5293,1.8701,1.1651,0.3352,4.3455,3.219,14.0453,1.7205,0.9895,0.1634,-9.6915,-25.1211,-0.5068,5.7454,27661970.41,0.3765,5.2882,0.3417,4.9302,0.339,1.4698
300427.SZ,红相股份,2015年2月17日,2020年1月1日,1779,0,7.5978,22.9868,19.8363,28.2138,8.8193,22.9868,11.0481,1.4872,6.0039,0.7509,3.7196,3.5992,0.383,1.5747,1.372,38.7411,1.8893,0.3235,0.6324,329.6392,88.7705,10.8779,14.4669,-251579056.2,0.0263,1.0194,0.65,5.8889,-0.7135,3.0691
603519.SH,立霸股份,2015年3月19日,2020年1月1日,1749,0,9.6597,8.0876,7.1304,8.0671,10.8033,8.0876,12.8213,4.7435,14.3233,1.5504,5.7794,6.9993,1.3547,3.5743,2.9641,24.674,1.7205,1.1163,0.3276,63.0376,9.5539,-1.3687,0.0398,-23448827.34,0.3058,7.5462,0.411,3.2142,-0.1057,0.4033
603818.SH,曲美家居,2015年4月22日,2020年1月1日,1715,0,-1.2091,-1.5281,-1.9633,-2.0221,1.034,-1.5281,-4.3763,11.1478,2.667,2.0856,5.8851,4.0627,0.6159,1.5353,0.8962,77.7314,-0.7085,0.3313,3.4906,130.3241,-123.1226,-15.1476,246.3962,-629137108.3,0.0551,4.2863,-0.12,2.7468,-1.2804,0.7604
300457.SZ,赢合科技,2015年5月14日,2020年1月1日,1693,0,7.9695,18.05,15.8336,20.8676,7.9122,18.05,10.9451,2.0344,4.683,0.7262,5.5482,2.6142,0.5033,1.7809,1.4908,41.5528,1.7205,0.4957,0.7109,471.5913,46.4747,136.5529,63.1812,314801673.6,0.0367,1.5241,0.92,7.8811,0.8368,4.9242
002757.SZ,南兴股份,2015年5月27日,2020年1月1日,1680,0,10.7654,16.7909,14.5306,18.1828,9.8227,16.7909,9.8872,9.6723,2.6727,1.5864,8.5695,3.4848,0.7409,3.3236,2.4642,15.126,1.7205,1.0838,0.1782,142.4339,51.2133,89.33,78.8913,6917162.7,0.5523,8.3544,1.3464,12.5941,0.0526,7.6538
603198.SH,迎驾贡酒,2015年5月28日,2020年1月1日,1679,0,12.6599,29.9762,22.3377,39.5913,15.8608,29.9762,17.9515,56.1717,2.5962,0.7999,4.361,0.6074,0.5668,2.2489,1.0545,32.3263,1.7205,0.4807,0.4777,19.2017,16.8272,5.3093,9.0174,65332015.36,0.4296,13.8878,0.97,5.4222,0.0817,1.5788
002763.SZ,汇洁股份,2015年6月10日,2020年1月1日,1666,0,8.4756,11.604,8.3251,9.7868,10.9182,11.604,9.1608,12.9321,4.7983,1.495,6.0565,1.1985,1.0181,3.2971,1.8204,23.3301,1.7205,1.3149,0.3043,24.7534,-18.3024,2.7866,10.3199,38390838.38,0.2292,5.3473,0.43,4.6513,0.0987,1.6186
300478.SZ,杭州高新,2015年6月10日,2020年1月1日,1666,0,1.6634,2.0469,2.4167,2.5214,3.8489,2.0469,3.7925,4.1584,5.3662,1.216,6.7354,5.992,0.6883,1.6027,1.3757,47.1567,4.4156,0.7845,0.8924,57.3265,-51.2931,2.0427,-18.75,239704782.3,-0.0969,-4.5713,0.17,4.4087,1.8923,1.4221
300472.SZ,新元科技,2015年6月11日,2020年1月1日,1665,0,4.5563,4.5603,13.3804,16.6837,6.0885,4.5603,6.1715,1.4675,2.9411,0.7593,4.0418,2.0415,0.3405,1.7649,1.3203,26.7715,5.4148,0.305,0.3656,150.0204,212.5673,37.3099,-1.694,1492830.51,0.1462,3.9141,0.55,8.5617,0.0113,5.9577
300476.SZ,胜宏科技,2015年6月11日,2020年1月1日,1665,0,8.0192,14.9692,11.5163,14.6449,7.8242,14.9692,12.786,3.1517,1.9841,1.2682,4.2925,6.5059,0.6963,1.0778,0.914,44.8741,1.7205,0.3738,0.814,157.1904,35.013,10.3184,31.945,140941632.7,0.2051,9.2018,0.49,3.8662,0.1831,1.6271
002767.SZ,先锋电子,2015年6月12日,2020年1月1日,1664,0,3.1279,9.7288,8.9337,10.0352,3.0835,9.7288,3.6122,1.3886,20.8419,0.3987,1.9268,3.8613,0.3501,5.9019,5.519,14.437,1.7205,0.4244,0.1687,-0.7298,-43.749,2.8381,2.4355,10956643.47,0.1052,1.5183,0.17,4.7655,0.073,1.915
002778.SZ,高科石化,2016年1月6日,2020年1月1日,1456,0,2.4045,2.9132,2.6318,2.8191,3.2506,2.9132,2.8751,4.9615,5.1311,1.4211,7.7312,3.9912,0.9136,3.3684,2.2791,18.5169,10.1553,0.8999,0.2272,19.3938,-40.885,1.9222,5.4132,-49024121.16,-0.0197,-0.3655,0.2,7.0769,-0.5502,2.4056
002793.SZ,东音股份,2016年4月15日,2020年1月1日,1356,0,9.6795,13.6517,11.9029,14.5927,9.2644,13.6517,12.2373,6.3374,4.6614,1.4454,4.6772,3.7143,0.8132,3.3057,2.5241,35.0885,133.6003,1.308,0.5406,60.121,-3.8895,20.6449,55.934,196706625.2,0.232,8.141,0.56,4.2277,0.9835,1.0517
002799.SZ,环球印务,2016年6月8日,2020年1月1日,1302,0,3.5413,6.2858,5.5935,6.1774,4.3558,6.2858,5.1706,3.9511,2.0606,1.301,3.7008,5.4425,0.6331,1.1225,0.9449,42.6055,1.7205,0.4981,0.7423,38.7798,38.5144,4.8144,29.194,15487898.57,0.2031,8.6547,0.19,3.6247,0.1033,0.9891
300521.SZ,爱司凯,2016年7月5日,2020年1月1日,1275,0,4.5015,14.6905,14.629,19.8875,4.4851,14.6905,4.9635,1.1849,2.6984,0.4373,1.2076,1.5464,0.3077,5.8082,4.8621,11.5104,1.7205,1.9735,0.1301,-3.0749,-30.6443,3.7193,6.949,51352366.08,0.4698,5.4071,0.1767,3.5598,0.3566,0.9726
601966.SH,玲珑轮胎,2016年7月6日,2020年1月1日,1274,0,5.2296,8.3562,7.7205,8.9052,5.9832,8.3562,11.8033,5.9145,1.5644,1.5296,12.7513,5.0737,0.6774,1.1411,0.9091,61.1703,1.5842,0.505,1.5753,75.2016,12.7597,15.0289,33.052,2051228199,0.1167,7.1412,0.98,8.1142,1.7094,2.2213
300527.SZ,中国应急,2016年8月5日,2020年1月1日,1244,0,6.5364,10.5017,9.0339,10.5612,6.6597,10.5017,10.915,4.4826,6.513,0.9294,3.034,3.9931,0.7235,1.6355,1.4088,49.0046,1.7205,0.8114,0.961,54.2102,5.6773,-0.3504,15.9554,-71088315.98,-0.2447,-11.9891,0.3287,2.342,-0.0813,0.4682
002808.SZ,恒久科技,2016年8月12日,2020年1月1日,1237,0,5.2906,12.1581,10.8715,13.1747,5.29,12.1581,6.1169,3.3547,3.0463,0.6721,1.6605,2.5425,0.4867,4.1986,3.3061,17.5626,1.7205,1.3496,0.213,40.5691,13.8378,4.7449,10.3454,-40243621.93,-0.2901,-5.0945,0.181,2.9512,-0.2096,0.6856
300535.SZ,达威股份,2016年8月12日,2020年1月1日,1237,0,5.481,13.5972,11.5794,14.4067,6.1241,13.5972,5.8547,2.2383,2.4403,0.788,3.5735,2.4057,0.4733,6.2931,5.0373,9.254,1.7205,1.8536,0.102,29.4742,-20.3064,6.7989,7.5265,-62210722.06,-0.0108,-0.0996,0.4043,7.0965,-0.6242,2.8856
002810.SZ,山东赫达,2016年8月26日,2020年1月1日,1223,0,6.3121,9.7768,8.4006,9.9227,7.4027,9.7768,9.6965,6.0731,1.7928,2.0523,7.6691,4.843,0.7514,1.2813,0.8703,41.5887,3.2434,0.314,0.712,84.2228,64.5137,12.1149,19.2255,-17860029.39,0.1774,7.3774,0.6401,6.3583,-0.15,1.8376
300545.SZ,联得装备,2016年9月28日,2020年1月1日,1190,0,7.7407,13.7847,12.8498,16.1637,9.0157,13.7847,14.4013,3.4181,41.7799,0.7197,4.6045,1.5109,0.6024,1.4948,0.8705,49.0755,4.4801,0.3644,0.9637,164.9396,50.861,16.0625,11.7479,-408873535.1,-0.1863,-9.1437,0.6,4.1084,-2.8371,1.2626
300553.SZ,集智股份,2016年10月21日,2020年1月1日,1167,0,3.3306,11.0168,8.5473,10.8425,3.8002,11.0168,5.0143,2.8714,1.5996,0.5352,2.9213,1.3955,0.3897,6.6212,5.1018,10.9804,1.7205,2.2869,0.1233,43.2352,-43.7849,1.3568,2.5477,-75965151.04,0.1226,1.3463,0.34,6.8014,-1.5826,3.4311
300567.SZ,精测电子,2016年11月22日,2020年1月1日,1135,0,15.559,24.7521,21.8122,32.7708,13.9134,24.7521,24.965,2.6811,10.905,0.8663,8.4926,2.4013,0.7133,1.4773,1.1868,53.9021,1.7205,0.5764,1.1693,232.7824,79.3791,35.3686,105.8053,276201351.2,0.1247,6.7191,1.8,7.0743,1.6881,2.6293
603336.SH,宏辉果蔬,2016年11月24日,2020年1月1日,1133,0,7.1306,8.5676,8.4063,9.2049,6.5356,8.5676,7.871,3.8162,6.7843,1.1269,4.4034,2.3688,0.8482,4.5656,2.5706,16.3187,1.7205,0.8865,0.195,20.831,1.3324,4.7877,24.8441,63692173.32,-0.3882,-6.3343,0.37,4.7029,0.3674,1.4377
300569.SZ,天能重工,2016年11月25日,2020年1月1日,1132,0,4.0337,8.9847,8.3071,9.5232,4.241,8.9847,5.8188,2.7084,2.0397,0.7591,9.2897,1.8559,0.4856,1.4007,0.8747,43.8891,7.6075,0.3132,0.7822,37.6248,18.6264,4.9789,31.9367,170986325,-0.2048,-8.9883,0.6822,11.7239,1.1398,6.0065
002825.SZ,纳尔股份,2016年11月29日,2020年1月1日,1128,0,7.785,8.7423,7.8612,9.0156,7.8413,8.7423,9.9731,11.7025,5.3627,1.5463,5.6209,8.9171,0.9903,2.3254,1.9969,26.1507,1.7205,0.6467,0.3541,49.654,70.5998,9.2408,12.0936,-43980813.63,0.3785,9.8969,0.44,4.4306,-0.3135,1.1137
603690.SH,至纯科技,2017年1月13日,2020年1月1日,1083,0,2.5683,5.3524,4.6724,5.4791,4.0234,5.3524,7.4461,1.6881,5.1041,0.7538,3.1957,1.5594,0.5497,1.1396,0.7007,69.4703,0.9616,0.1042,2.2755,224.8523,-35.7048,7.5521,45.5624,-12403667.29,-0.0523,-3.6338,0.155,2.0653,-0.0588,0.2902
603626.SH,科森科技,2017年2月9日,2020年1月1日,1056,0,2.9627,5.2532,5.1679,5.8217,3.7405,5.2532,6.6869,1.9054,1.5604,1.1144,5.7951,7.5528,0.5733,1.0844,0.944,60.6706,1.4239,0.2851,1.5426,120.8834,-44.0388,6.064,44.1913,198360442,0.109,6.612,0.302,4.2599,0.4773,1.7174
603615.SH,茶花股份,2017年2月13日,2020年1月1日,1052,0,4.727,11.9589,8.9674,10.3002,6.1369,11.9589,5.0775,8.1789,2.2048,0.7709,3.1773,3.6158,0.5271,8.4875,7.1148,7.9777,1.7205,5.0748,0.0867,12.1373,-26.9599,0.6263,2.3634,-198665087,0.8375,6.6814,0.28,5.6115,-0.8278,2.7917
603839.SH,安正时尚,2017年2月14日,2020年1月1日,1051,0,8.2147,19.4183,17.0384,22.0269,8.6344,19.4183,10.2516,13.7601,3.0738,0.7417,4.0799,0.9575,0.4821,3.8738,2.5262,24.4085,1.7205,0.774,0.3229,34.6454,2.9054,6.6399,17.0702,67454954.05,0.1056,2.5773,0.7,6.7843,0.1669,2.4922
300611.SZ,美力科技,2017年2月20日,2020年1月1日,1045,0,1.9644,4.0717,3.3754,3.7601,2.8592,4.0717,3.0085,2.9263,1.6747,1.1744,3.046,3.438,0.582,2.2643,1.6272,35.4022,5.0065,0.4672,0.548,83.0963,-60.9454,-1.9434,19.0259,-16215486.15,0.0981,3.4742,0.11,3.7003,-0.0906,1.4516
300618.SZ,寒锐钴业,2017年3月6日,2020年1月1日,1031,0,25.0394,34.3785,25.307,41.2464,28.7437,34.3785,37.2373,11.8174,11.3776,1.2223,14.492,1.3657,0.9894,3.2516,1.6605,44.9591,9.8182,1.0612,0.8168,198.6759,56.6872,70.6189,58.7289,192685433.5,0.1875,8.4276,3.69,9.2494,1.0036,1.8791
603665.SH,康隆达,2017年3月13日,2020年1月1日,1024,0,6.8721,10.6474,9.4142,11.144,7.5562,10.6474,8.3789,9.0726,2.929,1.3123,9.054,2.4339,0.73,2.2999,1.2697,24.3354,1.7205,0.77,0.3216,47.5916,15.5937,7.6135,16.3761,61298339.69,0.1785,4.343,0.84,9.9735,0.613,5.8866
300623.SZ,捷捷微电,2017年3月14日,2020年1月1日,1023,0,11.3397,36.2444,30.8238,51.3167,11.2486,36.2444,12.2692,4.4282,1.3662,0.5644,2.9902,3.146,0.3679,5.2829,4.7576,13.4752,1.7205,3.9463,0.1557,122.5896,14.9287,10.6192,14.6339,99674632.9,1.243,16.7499,0.93,7.5123,0.5545,3.7675
603517.SH,绝味食品,2017年3月17日,2020年1月1日,1020,0,17.9902,19.0152,14.4367,18.0683,22.1202,19.0152,21.1811,986.4311,4.7895,2.767,10.6536,5.5503,1.2461,1.9527,1.172,20.7807,1.7205,0.9011,0.2623,49.522,26.8084,17.6071,19.8301,-362510618.4,0.6103,12.6816,1.56,7.3769,-0.8842,1.877
603385.SH,惠达卫浴,2017年4月5日,2020年1月1日,1001,0,6.1093,10.0645,8.9376,10.1878,6.8848,10.0645,7.5849,5.7988,2.8318,1.2791,7.8507,2.9234,0.6836,2.3853,1.6214,24.8913,1.7205,0.4594,0.3314,29.9434,1.9826,5.1275,8.3697,-70913536.81,-0.053,-1.3197,0.65,8.5239,-0.192,2.49
603078.SH,江化微,2017年4月10日,2020年1月1日,996,0,4.1935,11.5726,10.3354,12.2927,4.229,11.5726,5.1863,2.558,2.0843,0.7033,4.5676,10.8333,0.4057,2.232,2.0992,23.7201,1.7205,1.327,0.311,17.8226,-26.1249,2.9314,14.3188,107162628,0.3046,7.2243,0.4753,9.1641,1.2757,4.1736
603826.SH,坤彩科技,2017年4月14日,2020年1月1日,992,0,13.339,35.6787,30.6807,48.0664,14.2648,35.6787,13.8899,5.5915,1.4353,0.9135,1.2538,1.1359,0.4348,4.7539,2.2954,11.1091,1.7205,0.4336,0.125,79.1876,55.1476,13.8464,17.926,-44553902.05,0.434,4.8212,0.3851,2.7722,-0.0952,0.8197
603320.SH,迪贝电气,2017年5月2日,2020年1月1日,974,0,5.9527,7.8895,6.7468,7.6133,7.0704,7.8895,6.9078,6.9056,4.571,1.2513,6.3486,4.5062,0.8823,5.3701,3.9863,12.9849,1.7205,1.4444,0.1492,51.5863,-16.8701,4.5937,-1.9165,-60194642.33,0.5939,7.7112,0.43,6.2006,-0.6019,2.1822
601952.SH,苏垦农发,2017年5月15日,2020年1月1日,961,0,9.0263,13.3305,12.5646,13.5454,9.2869,13.3305,10.8228,31.3128,3.6825,0.9252,3.544,2.1217,0.7184,5.061,3.1787,18.6235,1.7205,2.228,0.2289,16.8787,9.2154,7.5652,5.6707,229104427.7,0.2703,5.0338,0.44,4.0596,0.1663,1.4486
002885.SZ,京泉华,2017年6月27日,2020年1月1日,918,0,5.5916,6.8391,6.6419,7.509,6.0259,6.8391,10.8202,3.1244,24.6626,1.0864,9.7192,4.1345,0.8419,1.8105,1.3481,49.2875,1.7205,0.6823,0.9719,53.9792,34.6945,11.228,10.613,89517233.59,-0.0016,-0.0799,0.8,6.1409,0.746,2.5047
603801.SH,志邦家居,2017年6月30日,2020年1月1日,915,0,10.0982,13.228,11.2166,13.5415,10.8735,13.228,14.5756,22.0588,3.981,1.3707,15.2062,9.8739,0.9003,1.9077,1.7321,32.7618,1.7205,0.9551,0.4872,104.726,16.5122,10.1669,6.2682,-208053420,0.4054,13.2814,1.7056,11.7019,-1.3003,5.8785
300672.SZ,国科微,2017年7月12日,2020年1月1日,903,0,3.3074,5.2393,11.2148,15.7521,3.3355,5.2393,5.4772,2.1763,5.2885,0.471,3.5799,2.183,0.2949,1.4749,1.2858,38.1976,1.7205,0.7009,0.6181,8.9952,-2.177,5.9372,49.7868,-101883474.6,-0.1217,-4.6473,0.5,9.176,-0.9116,6.262
002891.SZ,中宠股份,2017年8月21日,2020年1月1日,863,0,5.1017,4.639,4.3574,4.8396,5.3288,4.639,7.5858,9.0546,4.6853,2.3251,14.1226,4.5487,1.1708,1.2028,0.685,40.7649,2.5213,0.1939,0.6882,117.8671,-27.4373,7.3211,40.0217,-101072246.5,0.0473,1.9301,0.56,7.4408,-1.0107,4.0538
603976.SH,正川股份,2017年8月22日,2020年1月1日,862,0,7.5649,15.7938,13.8921,17.0228,7.1532,15.7938,8.3855,6.1382,2.0298,0.8199,3.9404,3.7572,0.5445,5.5041,4.6181,12.3787,1.7205,3.6667,0.1413,24.203,0.7158,3.4684,6.0977,-54578165.74,0.4611,5.7079,0.55,6.5279,-0.361,3.6742
002656.SZ,ST摩登,2012年2月28日,2020年1月13日,2876,1,0.235,0.6853,0.5055,0.5597,0.8077,0.6853,1.1697,5.6417,3.7278,1.069,2.1923,2.2017,0.4649,2.2941,1.5474,25.9515,6.6119,0.603,0.3505,115.6863,-93.1519,0.7644,-1.2539,-341635697.4,-0.1007,-2.6137,0.0391,3.3421,-0.4795,1.913
