,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0,0.318798777,0.304207304,0.74038397,0.982302572,0.318798777,0.403553071,0.02622159,0.23544286,0.118593483,0.220232079,0.159926847,0.26239029,0.277654269,0.27176515,0.408247182,0.005899552,0.325604795,0.173423907,0.222625232,0.473581997,0.522566368,0.405795006,0.045433088,0.39029039,0.329926261,0.817623212,0.47994705,0.108233034,0.098545592
2,0.318798777,0,0.99882176,0.790143104,0.302841299,1,0.133392006,0.01275442,0.085990521,0.147557012,0.101161952,0.126563938,0.172254379,0.071681862,0.070020531,0.165103173,0.017234196,0.105712247,0.053593221,0.128875833,0.081828206,0.201478613,0.136850569,0.035536131,0.107411236,0.129273698,0.265707285,0.1462524,0.045011262,0.079844952
3,0.304207304,0.99882176,0,0.779657387,0.290574173,0.99882176,0.134501956,0.012240029,0.081547836,0.14499017,0.097445824,0.121513247,0.165882271,0.064007621,0.062994891,0.158389629,0.017064375,0.098435079,0.052893072,0.122620906,0.069421117,0.194591404,0.130587291,0.032714561,0.096808948,0.119469989,0.248351156,0.13963009,0.041744099,0.081100858
4,0.74038397,0.790143104,0.779657387,0,0.74570262,0.790143104,0.293422772,0.015830169,0.143002769,0.170598857,0.152140554,0.15742641,0.230876534,0.171514711,0.172907317,0.280313314,0.0166536,0.241772519,0.123280788,0.168569833,0.276681661,0.386286181,0.291602136,0.042158703,0.27220434,0.233072097,0.58286974,0.295214761,0.074228666,0.06235565
5,0.982302572,0.302841299,0.290574173,0.74570262,0,0.302841299,0.404865468,0.038405514,0.199008914,0.143499333,0.216494855,0.153117212,0.254960286,0.211530023,0.202151127,0.327124604,0.00044207,0.268792922,0.146924851,0.209789773,0.435062195,0.501837712,0.393326413,0.039367264,0.361880339,0.30520176,0.765158461,0.423131878,0.092817284,0.064097068
6,0.318798777,1,0.99882176,0.790143104,0.302841299,0,0.133392006,0.01275442,0.085990521,0.147557012,0.101161952,0.126563938,0.172254379,0.071681862,0.070020531,0.165103173,0.017234196,0.105712247,0.053593221,0.128875833,0.081828206,0.201478613,0.136850569,0.035536131,0.107411236,0.129273698,0.265707285,0.1462524,0.045011262,0.079844952
7,0.403553071,0.133392006,0.134501956,0.293422772,0.404865468,0.133392006,0,0.003798015,0.089866429,0.089359982,0.082812309,0.079226599,0.129381702,0.108831696,0.097590173,0.305351034,0.023351717,0.119692964,0.830390658,0.211422849,0.169843039,0.354036529,0.227431265,0.029974015,0.082980887,0.05944501,0.338156171,0.235556872,0.02999303,0.052181622
8,0.02622159,0.01275442,0.012240029,0.015830169,0.038405514,0.01275442,0.003798015,0,0.067086703,0.199551224,0.255027071,0.021126734,0.198918013,0.022517694,0.051468217,0.074317027,0.018702802,0.015180717,0.015377123,0.045897498,0.01020376,0.104293513,0.018867409,0.025101139,0.01354152,0.027419104,0.000585684,0.06349784,0.061790605,0.031893364
9,0.23544286,0.085990521,0.081547836,0.143002769,0.199008914,0.085990521,0.089866429,0.067086703,0,0.112131322,0.379057787,0.173351608,0.459510982,0.080869344,0.086685338,0.006821416,0.07184482,0.069126596,0.050828884,0.156024605,0.150905646,0.126813851,0.117900737,0.021742273,0.045387293,0.066396148,0.309553099,0.210569693,0.05723273,0.035903588
10,0.118593483,0.147557012,0.14499017,0.170598857,0.143499333,0.147557012,0.089359982,0.199551224,0.112131322,0,0.547760783,0.535513011,0.771362823,0.278940147,0.291814148,0.227795838,0.022754822,0.191776702,0.025236442,0.152817489,0.000918948,0.093429614,0.165641264,0.008830796,0.066132505,0.137849061,0.069646012,0.063269427,0.097189063,0.059186562
